StartTime,EndTime,Duration,X,Y
0,1,1,1352,244
1,2,1,1227,243
2,3,1,1088,240
3,4,1,943,235
4,6,2,806,231
6,8,2,703,231
8,23,15,614,231
23,42,19,704,225
42,44,2,770,227
44,52,8,856,246
52,56,4,918,253
56,63,7,993,258
63,65,2,1031,253
65,82,17,1086,223
82,84,2,1022,232
84,86,2,939,238
86,87,1,869,242
87,89,2,758,245
89,94,5,656,238
94,96,2,677,300
96,97,1,726,367
97,98,1,807,473
98,99,1,864,552
99,100,1,940,666
100,102,2,1004,771
102,111,9,1078,857
111,125,14,1092,823
125,139,14,1151,776
139,156,17,1210,718
156,180,24,1132,661
180,181,1,991,586
181,182,1,864,535
182,183,1,745,485
183,184,1,657,448
184,186,2,565,410
186,192,6,465,365
192,199,7,423,298
199,215,16,409,237
215,230,15,448,228
230,232,2,512,228
232,234,2,596,231
234,252,18,685,226
252,302,50,635,218
302,341,39,589,222
341,343,2,735,205
343,345,2,835,200
345,348,3,913,203
348,362,14,1196,191
362,363,1,1068,211
363,364,1,960,211
364,366,2,849,213
366,368,2,736,222
368,374,6,655,222
374,375,1,742,354
375,376,1,810,439
376,377,1,874,523
377,378,1,937,606
378,379,1,984,665
379,381,2,1065,770
381,403,22,1115,848
403,412,9,1166,796
412,423,11,1216,745
423,436,13,1266,716
436,442,6,1193,690
442,460,18,1128,641
460,464,4,1147,608
464,465,1,935,488
465,466,1,783,412
466,467,1,677,363
467,469,2,574,314
469,471,2,497,279
471,473,2,445,260
473,475,2,384,244
475,477,2,315,229
477,487,10,227,221
487,504,17,169,208
504,518,14,246,206
518,519,1,296,214
519,521,2,394,218
521,523,2,480,219
523,535,12,566,203
535,537,2,622,206
537,539,2,702,209
539,541,2,784,207
541,552,11,865,212
552,557,5,930,216
557,568,11,979,213
568,582,14,1034,203
582,588,6,1095,199
588,598,10,1161,192
598,615,17,1216,196
615,627,12,951,251
627,642,15,1023,219
642,655,13,1082,249
655,656,1,1115,344
656,657,1,1120,479
657,658,1,1134,589
658,660,2,1149,698
660,662,2,1156,785
662,673,11,1142,823
673,676,3,1080,841
676,680,4,1011,852
680,683,3,1064,806
683,687,4,1124,782
687,699,12,1174,734
699,712,13,1218,686
712,720,8,1289,655
720,742,22,1313,595
742,743,1,1067,462
743,744,1,873,403
744,745,1,737,362
745,746,1,646,335
746,748,2,533,308
748,750,2,456,284
750,753,3,392,269
753,756,3,332,265
756,760,4,273,260
760,761,1,410,277
761,762,1,506,283
762,763,1,669,291
763,764,1,784,294
764,766,2,893,294
766,771,5,993,276
771,806,35,1073,279
806,825,19,1139,269
825,826,1,1043,269
826,827,1,947,264
827,828,1,858,261
828,830,2,734,259
830,832,2,644,258
832,834,2,594,263
834,836,2,515,259
836,838,2,430,255
838,840,2,355,255
840,843,3,289,260
843,872,29,178,251
872,888,16,215,264
888,890,2,258,282
890,891,1,478,257
891,892,1,711,227
892,893,1,866,205
893,894,1,991,185
894,896,2,1091,162
896,898,2,1162,146
898,909,11,1216,114
909,925,16,1166,84
925,933,8,1197,68
933,936,3,1173,116
936,948,12,1185,140
948,964,16,1220,84
964,968,4,1261,61
968,1007,39,1290,81
1007,1010,3,1246,141
1010,1014,4,1213,195
1014,1024,10,1168,250
1024,1031,7,1109,280
1031,1053,22,1050,298
1053,1067,14,1100,302
1067,1076,9,1152,299
1076,1077,1,1122,449
1077,1078,1,1105,544
1078,1080,2,1095,653
1080,1082,2,1095,739
1082,1100,18,1104,782
1100,1118,18,1152,730
1118,1127,9,1189,683
1127,1142,15,1242,637
1142,1163,21,1259,565
1163,1170,7,1261,518
1170,1172,2,1208,509
1172,1174,2,1165,490
1174,1181,7,1119,461
1181,1182,1,866,384
1182,1183,1,687,310
1183,1184,1,569,261
1184,1186,2,464,222
1186,1190,4,380,217
1190,1194,4,346,272
1194,1199,5,288,280
1199,1200,1,257,251
