StartTime,EndTime,Duration,X,Y
0,22,22,1233,587
22,36,14,1293,537
36,37,1,1035,393
37,38,1,868,343
38,39,1,754,315
39,41,2,657,291
41,44,3,583,270
44,50,6,533,263
50,52,2,589,259
52,54,2,680,258
54,56,2,783,255
56,62,6,868,247
62,64,2,918,244
64,68,4,982,242
68,79,11,1039,259
79,84,5,1101,249
84,100,16,1155,246
100,101,1,1044,237
101,102,1,888,233
102,103,1,768,233
103,104,1,680,234
104,106,2,578,238
106,109,3,489,249
109,111,2,437,258
111,113,2,382,255
113,115,2,310,254
115,122,7,232,257
122,139,17,163,262
139,158,19,233,269
158,174,16,304,260
174,182,8,347,245
182,199,17,382,278
199,201,2,511,245
201,202,1,648,224
202,203,1,732,211
203,204,1,832,197
204,205,1,947,181
205,207,2,1050,165
207,234,27,1170,124
234,268,34,1196,91
268,269,1,1149,127
269,271,2,1060,191
271,273,2,962,252
273,275,2,891,287
275,280,5,818,314
280,282,2,732,312
282,284,2,683,311
284,287,3,614,316
287,292,5,559,320
292,293,1,510,314
293,304,11,716,302
304,309,5,779,321
309,326,17,851,310
326,328,2,880,350
328,330,2,966,493
330,332,2,1018,576
332,334,2,1065,655
334,337,3,1091,722
337,345,8,1107,790
345,367,22,1087,804
367,371,4,1113,765
371,376,5,1170,737
376,392,16,1236,688
392,405,13,1263,631
405,424,19,1298,576
424,440,16,1338,517
440,442,2,1319,472
442,446,4,1269,410
446,467,21,1224,376
467,470,3,1171,369
470,471,1,1132,370
471,472,1,996,373
472,473,1,895,359
473,475,2,791,336
475,477,2,701,324
477,480,3,635,318
480,486,6,598,300
486,488,2,704,307
488,490,2,782,305
490,493,3,863,302
493,496,3,917,313
496,502,6,991,316
502,511,9,1038,321
511,523,12,1119,318
523,526,3,1181,336
526,530,4,1244,322
530,544,14,1277,318
544,552,8,1305,339
552,553,1,1176,335
553,555,2,1051,337
555,556,1,912,341
556,558,2,799,347
558,560,2,712,353
560,563,3,656,358
563,564,1,608,360
564,573,9,237,252
573,580,7,167,241
580,594,14,99,229
594,608,14,127,263
608,609,1,202,304
609,610,1,293,355
610,611,1,453,429
611,612,1,616,508
612,613,1,737,572
613,614,1,871,644
614,615,1,969,696
615,617,2,1065,750
617,622,5,1135,793
622,637,15,1089,757
637,655,18,1117,725
655,682,27,1124,615
682,701,19,1155,554
701,719,18,1185,475
719,737,18,1208,409
737,761,24,1221,335
761,775,14,1232,271
775,778,3,1168,230
778,779,1,1132,215
779,780,1,1036,219
780,781,1,955,221
781,782,1,819,227
782,783,1,718,230
783,785,2,595,237
785,787,2,499,239
787,792,5,431,237
792,797,5,356,243
797,808,11,295,262
808,810,2,358,289
810,812,2,451,314
812,814,2,545,330
814,829,15,628,338
829,841,12,692,333
841,843,2,778,320
843,845,2,908,322
845,847,2,989,328
847,852,5,269,115
852,853,1,319,120
853,854,1,391,141
854,855,1,492,169
855,856,1,688,217
856,857,1,863,261
857,858,1,993,294
858,860,2,1130,332
860,864,4,1238,372
864,866,2,1275,418
866,868,2,1303,488
868,870,2,1332,567
870,875,5,1340,642
875,876,1,1295,631
876,877,1,1142,540
877,878,1,1010,464
878,879,1,891,394
879,880,1,800,341
880,881,1,719,294
881,883,2,602,222
883,889,6,512,162
889,890,1,629,312
890,891,1,734,436
891,893,2,823,539
893,894,1,879,599
894,895,1,962,668
895,897,2,1042,732
897,921,24,1103,784
921,933,12,1145,715
933,939,6,1190,677
939,957,18,1247,652
957,962,5,1263,611
962,965,3,1200,600
965,982,17,1117,576
982,995,13,1149,525
995,996,1,878,410
996,997,1,674,334
997,998,1,543,283
998,1000,2,442,249
1000,1020,20,324,218
1020,1039,19,392,143
1039,1041,2,462,151
1041,1043,2,554,164
1043,1059,16,644,164
1059,1070,11,702,139
1070,1085,15,812,123
1085,1102,17,894,121
1102,1106,4,946,113
1106,1119,13,1032,95
1119,1120,1,1077,101
1120,1131,11,1210,164
1131,1132,1,1090,167
1132,1133,1,1003,169
1133,1135,2,881,168
1135,1138,3,776,163
1138,1141,3,714,165
1141,1143,2,640,166
1143,1146,3,576,161
1146,1148,2,505,166
1148,1150,2,413,166
1150,1152,2,327,169
1152,1159,7,248,170
1159,1160,1,382,270
1160,1161,1,546,376
1161,1162,1,681,463
1162,1163,1,807,542
1163,1164,1,910,606
1164,1166,2,1012,674
1166,1168,2,1088,729
1168,1195,27,1108,761
1195,1200,5,1135,720
