StartTime,EndTime,Duration,X,Y
0,18,18,1163,672
18,29,11,1207,629
29,39,10,1247,602
39,50,11,1287,554
50,56,6,1307,509
56,58,2,1233,486
58,60,2,1173,473
60,61,1,1033,489
61,62,1,876,415
62,63,1,763,361
63,65,2,653,311
65,67,2,571,271
67,71,4,515,241
71,73,2,428,226
73,76,3,358,214
76,84,8,294,197
84,85,1,393,180
85,86,1,522,173
86,87,1,650,162
87,89,2,781,150
89,91,2,870,146
91,95,4,938,146
95,97,2,997,155
97,100,3,1062,154
100,112,12,1122,141
112,126,14,1189,145
126,127,1,1085,177
127,129,2,956,179
129,130,1,858,176
130,131,1,764,179
131,132,1,673,180
132,133,1,599,180
133,134,1,500,176
134,136,2,405,171
136,138,2,344,165
138,140,2,277,155
140,175,35,161,143
175,179,4,210,175
179,190,11,232,191
190,192,2,306,192
192,194,2,409,190
194,216,22,497,176
216,228,12,576,169
228,242,14,619,161
242,277,35,610,180
277,278,1,708,167
278,279,1,806,160
279,281,2,918,143
281,283,2,1017,119
283,289,6,1087,90
289,319,30,1170,92
319,321,2,1162,131
321,323,2,1100,158
323,325,2,1028,189
325,360,35,933,211
360,375,15,1017,189
375,377,2,751,314
377,384,7,720,315
384,391,7,728,385
391,431,40,702,433
431,433,2,777,482
433,435,2,847,531
435,436,1,951,590
436,438,2,1039,636
438,447,9,1146,672
447,455,8,1217,680
455,470,15,1269,654
470,480,10,1338,653
480,484,4,1402,634
484,489,5,1433,603
489,495,6,1422,559
495,498,3,1369,526
498,500,2,1315,504
500,503,3,1235,484
503,514,11,1173,461
514,532,18,1205,444
532,542,10,1276,412
542,557,15,1379,382
557,561,4,1430,358
561,563,2,1394,319
563,565,2,1338,307
565,567,2,1270,299
567,576,9,1197,264
576,594,18,1201,211
594,615,21,1250,194
615,618,3,1319,204
618,627,9,1383,200
627,629,2,1392,177
629,631,2,1299,172
631,658,27,1182,161
658,671,13,1136,171
671,689,18,1224,152
689,710,21,1203,181
710,712,2,1132,212
712,729,17,1051,246
729,744,15,1085,342
744,755,11,1149,343
755,773,18,1190,342
773,775,2,1191,453
775,777,2,1193,568
777,780,3,1189,661
780,802,22,1192,741
802,819,17,1278,721
819,837,18,1296,667
837,856,19,1213,601
856,877,21,1210,523
877,891,14,1210,454
891,894,3,1269,425
894,899,5,1335,415
899,916,17,1416,383
916,924,8,1432,311
924,926,2,1393,279
926,928,2,1318,287
928,930,2,1223,295
930,942,12,1146,294
942,956,14,1194,258
956,971,15,1275,226
971,991,20,1214,183
991,998,7,1267,190
998,999,1,1156,253
999,1001,2,1059,304
1001,1003,2,959,355
1003,1004,1,915,377
1004,1013,9,887,580
1013,1016,3,939,593
1016,1030,14,987,588
1030,1041,11,1051,570
1041,1056,15,1109,550
1056,1058,2,1143,602
1058,1060,2,1169,662
1060,1068,8,1180,748
1068,1080,12,1192,775
1080,1087,7,1186,730
1087,1097,10,1242,715
1097,1104,7,1301,693
1104,1119,15,1364,649
1119,1129,10,1398,620
1129,1131,2,1332,592
1131,1144,13,1242,546
1144,1146,2,1143,574
1146,1157,11,1062,558
1157,1159,2,1099,517
1159,1162,3,1138,477
1162,1176,14,1196,397
1176,1183,7,1236,351
1183,1187,4,1292,329
1187,1192,5,1360,330
1192,1200,8,1417,312
