StartTime,EndTime,Duration,X,Y
0,2,2,1358,320
2,3,1,1234,382
3,4,1,1136,456
4,5,1,1063,520
5,7,2,977,592
7,9,2,910,665
9,21,12,853,699
21,62,41,801,598
62,72,10,865,605
72,74,2,905,609
74,86,12,948,537
86,113,27,978,456
113,127,14,1041,419
127,132,5,1111,454
132,149,17,1172,440
149,159,10,1232,432
159,165,6,1296,437
165,173,8,1349,446
173,197,24,1413,448
197,200,3,1360,467
200,203,3,1280,471
203,217,14,1225,460
217,237,20,1270,408
237,251,14,1272,339
251,256,5,1261,292
256,267,11,1344,283
267,274,7,1391,240
274,277,3,1429,212
277,279,2,1360,208
279,281,2,1282,204
281,287,6,1210,197
287,289,2,1135,317
289,291,2,1073,391
291,304,13,994,389
304,306,2,1065,424
306,313,7,1132,461
313,319,6,1176,505
319,321,2,1215,530
321,337,16,1188,490
337,355,18,1226,462
355,370,15,1300,496
370,374,4,1336,503
374,375,1,1298,505
375,376,1,1180,500
376,378,2,1063,495
378,380,2,959,494
380,382,2,869,492
382,384,2,800,499
384,385,1,717,506
385,386,1,642,512
386,387,1,542,505
387,389,2,415,499
389,391,2,331,502
391,411,20,255,507
411,420,9,300,477
420,437,17,388,501
437,439,2,502,527
439,440,1,652,535
440,441,1,817,541
441,442,1,945,545
442,443,1,1038,544
443,445,2,1143,534
445,467,22,1248,487
467,486,19,1335,447
486,490,4,1321,397
490,503,13,1242,365
503,504,1,1115,401
504,506,2,1013,447
506,507,1,956,472
507,509,2,863,519
509,512,3,789,555
512,515,3,729,562
515,523,8,641,548
523,526,3,583,544
526,528,2,520,545
528,530,2,450,544
530,543,13,343,536
543,563,20,268,533
563,573,10,301,506
573,578,5,371,488
578,583,5,431,495
583,589,6,491,503
589,595,6,566,507
595,610,15,572,380
610,612,2,634,384
612,630,18,724,376
630,633,3,673,423
633,638,5,610,453
638,641,3,558,471
641,643,2,477,479
643,654,11,382,494
654,666,12,316,492
666,674,8,267,481
674,676,2,291,536
676,680,4,312,607
680,683,3,299,653
683,687,4,263,689
687,691,4,296,756
691,692,1,328,775
692,693,1,404,787
693,694,1,577,790
694,695,1,732,797
695,696,1,864,802
696,698,2,996,807
698,700,2,1117,814
700,702,2,1203,823
702,707,5,1288,837
707,720,13,1328,844
720,726,6,1347,874
726,727,1,1268,799
727,729,2,1238,686
729,731,2,1226,573
731,735,4,1189,482
735,741,6,1164,430
741,753,12,1237,378
753,758,5,1287,334
758,764,6,1348,328
764,773,9,1392,325
773,775,2,1342,320
775,779,4,1268,317
779,782,3,1222,312
782,783,1,1080,379
783,785,2,985,429
785,786,1,891,489
786,788,2,770,568
788,789,1,675,632
789,790,1,592,687
790,792,2,477,765
792,794,2,395,822
794,821,27,310,810
821,827,6,296,807
827,843,16,368,803
843,859,16,420,774
859,860,1,512,726
860,861,1,656,620
861,862,1,783,529
862,863,1,878,460
863,864,1,981,388
864,865,1,1067,329
865,867,2,1155,268
867,871,4,1237,206
871,879,8,1294,185
879,896,17,1358,193
896,898,2,1299,209
898,911,13,1215,219
911,913,2,1139,224
913,914,1,1008,285
914,915,1,941,316
915,916,1,873,359
916,917,1,722,490
917,918,1,607,591
918,919,1,515,656
919,921,2,408,719
921,923,2,327,766
923,936,13,290,784
936,942,6,354,789
942,961,19,396,797
961,973,12,1262,420
973,974,1,1217,425
974,975,1,1097,427
975,976,1,967,430
976,977,1,851,432
977,979,2,719,435
979,981,2,602,439
981,983,2,522,450
983,985,2,466,463
985,988,3,405,483
988,993,5,347,483
993,1011,18,267,471
1011,1029,18,346,454
1029,1043,14,390,459
1043,1048,5,434,464
1048,1049,1,470,468
1049,1050,1,645,513
1050,1051,1,781,548
1051,1052,1,898,578
1052,1054,2,1019,607
1054,1056,2,1108,625
1056,1072,16,1188,602
1072,1089,17,1238,561
1089,1095,6,1323,539
1095,1108,13,1376,514
1108,1111,3,1289,484
1111,1126,15,1243,427
1126,1136,10,1168,382
1136,1138,2,1078,419
1138,1140,2,1015,449
1140,1142,2,947,481
1142,1146,4,895,502
1146,1148,2,949,397
1148,1150,2,1015,346
1150,1157,7,1082,283
1157,1163,6,1114,279
1163,1165,2,1023,359
1165,1167,2,958,419
1167,1169,2,882,492
1169,1181,12,807,545
1181,1191,10,737,519
1191,1193,2,676,531
1193,1195,2,557,533
1195,1197,2,486,543
1197,1200,3,414,556
