StartTime,EndTime,Duration,X,Y
0,13,13,356,373
13,24,11,400,386
24,43,19,220,230
43,57,14,256,262
57,71,14,253,300
71,72,1,466,372
72,73,1,652,496
73,74,1,784,580
74,75,1,892,643
75,77,2,996,698
77,79,2,1080,717
79,103,24,1170,696
103,115,12,1237,660
115,121,6,1278,625
121,134,13,1334,578
134,149,15,1271,531
149,156,7,1316,494
156,162,6,1345,452
162,163,1,968,400
163,164,1,724,366
164,165,1,553,350
165,166,1,433,344
166,168,2,318,337
168,190,22,203,302
190,196,6,163,383
196,255,59,234,311
255,279,24,249,353
279,297,18,249,51
297,314,17,319,49
314,317,3,374,56
317,319,2,425,64
319,320,1,501,69
320,321,1,579,110
321,322,1,702,238
322,323,1,764,292
323,325,2,841,364
325,326,1,963,515
326,327,1,1034,603
327,329,2,1093,677
329,347,18,1162,724
347,364,17,1204,678
364,380,16,1200,612
380,395,15,1244,570
395,406,11,1314,528
406,417,11,1364,489
417,420,3,1297,482
420,434,14,1231,445
434,456,22,1265,363
456,462,6,1300,327
462,463,1,978,267
463,464,1,747,224
464,465,1,588,189
465,466,1,476,163
466,468,2,370,136
468,477,9,249,108
477,510,33,168,72
510,548,38,221,36
548,551,3,787,81
551,553,2,827,148
553,558,5,862,164
558,564,6,893,109
564,604,40,942,100
604,607,3,979,127
607,608,1,1055,295
608,609,1,1102,402
609,611,2,1149,516
611,613,2,1180,613
613,641,28,1189,660
641,653,12,1240,618
653,660,7,1283,586
660,669,9,1324,549
669,692,23,1217,501
692,715,23,1222,423
715,735,20,1226,348
735,741,6,1239,295
741,743,2,1152,277
743,744,1,1077,270
744,745,1,850,227
745,746,1,702,196
746,747,1,592,171
747,749,2,454,144
749,752,3,346,135
752,766,14,275,131
766,779,13,254,206
779,780,1,287,224
780,781,1,518,196
781,782,1,726,167
782,783,1,875,147
783,784,1,987,131
784,786,2,1103,115
786,788,2,1205,101
788,796,8,1289,86
796,801,5,1349,65
801,806,5,1411,63
806,807,1,1255,57
807,808,1,1034,87
808,810,2,934,82
810,811,1,827,96
811,812,1,697,132
812,813,1,565,197
813,819,6,450,290
819,831,12,526,340
831,844,13,616,326
844,859,15,699,321
859,864,5,764,316
864,884,20,823,323
884,885,1,934,404
885,887,2,1022,495
887,889,2,1097,570
889,914,25,1176,624
914,929,15,1236,577
929,958,29,1286,513
958,977,19,1277,424
977,979,2,1269,383
979,980,1,1058,590
980,981,1,850,528
981,982,1,702,473
982,983,1,599,431
983,985,2,499,388
985,987,2,416,342
987,1011,24,339,305
1011,1013,2,390,326
1013,1030,17,485,339
1030,1044,14,562,343
1044,1057,13,630,333
1057,1070,13,693,324
1070,1088,18,716,337
1088,1105,17,831,326
1105,1121,16,904,342
1121,1132,11,983,354
1132,1146,14,1060,364
1146,1151,5,1126,344
1151,1165,14,1175,342
1165,1176,11,1242,338
1176,1186,10,1287,342
1186,1188,2,1258,418
1188,1199,11,1212,505
1199,1200,1,1188,533
