StartTime,EndTime,Duration,X,Y
0,36,36,1235,40
36,37,1,942,168
37,38,1,710,268
38,39,1,551,349
39,40,1,448,423
40,42,2,347,488
42,44,2,269,532
44,49,5,220,562
49,50,1,964,740
50,51,1,1051,753
51,52,1,1151,763
52,54,2,1247,772
54,76,22,1329,779
76,78,2,1269,785
78,112,34,1174,768
112,127,15,1199,712
127,144,17,1237,655
144,162,18,1254,588
162,185,23,1292,516
185,199,14,1344,446
199,215,16,1386,392
215,221,6,1389,347
221,224,3,1417,296
224,226,2,1436,253
226,227,1,1363,51
227,228,1,1270,83
228,230,2,1176,116
230,233,3,1084,149
233,268,35,1016,183
268,269,1,944,208
269,270,1,861,239
270,271,1,772,276
271,272,1,678,316
272,274,2,566,364
274,276,2,472,406
276,280,4,406,431
280,282,2,348,459
282,289,7,268,493
289,317,28,676,356
317,320,3,746,353
320,323,3,802,350
323,328,5,873,349
328,333,5,923,349
333,335,2,987,430
335,337,2,1059,562
337,339,2,1110,652
339,353,14,1152,718
353,381,28,1188,657
381,392,11,1187,595
392,403,11,1238,551
403,419,16,1299,511
419,426,7,1314,450
426,432,6,1365,422
432,448,16,1416,377
448,449,1,1310,362
449,450,1,1108,374
450,451,1,954,383
451,452,1,837,391
452,453,1,746,403
453,455,2,643,415
455,458,3,559,427
458,475,17,482,433
475,559,84,406,399
559,564,5,441,421
564,601,37,307,213
601,603,2,375,235
603,604,1,453,277
604,605,1,616,354
605,606,1,739,418
606,607,1,834,475
607,608,1,908,519
608,610,2,1026,593
610,612,2,1119,655
612,633,21,1200,703
633,648,15,1200,625
648,666,18,1203,537
666,674,8,1248,487
674,695,21,1318,440
695,709,14,1372,392
709,720,11,1406,358
720,721,1,1265,336
721,722,1,1083,346
722,723,1,932,355
723,724,1,819,360
724,726,2,697,363
726,728,2,595,360
728,732,4,504,359
732,734,2,447,355
734,736,2,385,358
736,760,24,262,363
760,764,4,309,406
764,806,42,351,409
806,823,17,414,407
823,838,15,465,423
838,842,4,507,415
842,859,17,228,237
859,878,19,298,245
878,882,4,342,241
882,883,1,463,326
883,884,1,640,465
884,885,1,772,569
885,886,1,868,644
886,887,1,944,701
887,889,2,1043,749
889,891,2,1124,787
891,902,11,1198,760
902,913,11,1217,699
913,921,8,1197,635
921,932,11,1228,595
932,956,24,1293,550
956,968,12,1366,496
968,981,13,1403,438
981,983,2,1362,409
983,989,6,1286,399
989,1011,22,1226,379
1011,1029,18,1263,311
1029,1030,1,1131,303
1030,1031,1,1014,317
1031,1032,1,883,334
1032,1034,2,753,351
1034,1035,1,648,367
1035,1037,2,544,384
1037,1039,2,449,401
1039,1046,7,372,445
1046,1049,3,317,445
1049,1070,21,254,410
1070,1072,2,318,407
1072,1074,2,368,406
1074,1077,3,437,406
1077,1080,3,514,408
1080,1100,20,587,408
1100,1119,19,680,394
1119,1121,2,601,404
1121,1123,2,477,415
1123,1125,2,393,423
1125,1127,2,348,430
1127,1163,36,411,120
1163,1164,1,451,159
1164,1165,1,577,264
1165,1166,1,725,413
1166,1167,1,827,510
1167,1168,1,906,591
1168,1170,2,987,674
1170,1172,2,1074,739
1172,1176,4,1134,761
1176,1179,3,1185,740
1179,1196,17,1228,675
1196,1200,4,1207,638
