StartTime,EndTime,Duration,X,Y
0,35,35,1212,570
35,47,12,1255,534
47,65,18,1297,470
65,79,14,1341,399
79,103,24,1399,334
103,109,6,1400,292
109,111,2,1339,284
111,138,27,1225,225
138,139,1,992,218
139,140,1,823,233
140,141,1,699,246
141,143,2,578,262
143,145,2,492,269
145,156,11,409,262
156,160,4,348,269
160,163,3,272,271
163,182,19,209,282
182,210,28,210,317
210,229,19,216,198
229,248,19,201,155
248,249,1,238,189
249,250,1,363,251
250,251,1,521,335
251,252,1,673,430
252,253,1,811,519
253,254,1,904,582
254,255,1,978,639
255,257,2,1057,698
257,272,15,1140,754
272,288,16,1172,696
288,299,11,1205,658
299,313,14,1256,604
313,323,10,1287,551
323,349,26,1310,483
349,357,8,1247,430
357,375,18,1208,373
375,388,13,1239,300
388,390,2,1178,282
390,391,1,1079,290
391,392,1,955,303
392,393,1,815,317
393,394,1,719,328
394,395,1,610,343
395,397,2,505,359
397,399,2,424,373
399,403,4,364,382
403,405,2,318,368
405,427,22,218,337
427,446,19,230,360
446,466,20,248,258
466,489,23,223,196
489,491,2,236,249
491,493,2,239,308
493,496,3,244,382
496,519,23,217,225
519,534,15,276,228
534,539,5,314,230
539,540,1,405,270
540,541,1,499,304
541,542,1,657,392
542,543,1,798,477
543,544,1,912,545
544,545,1,1012,614
545,547,2,1109,696
547,550,3,1180,770
550,558,8,1221,778
558,570,12,1208,700
570,593,23,1191,611
593,612,19,1202,546
612,622,10,1249,497
622,638,16,1281,440
638,646,8,1275,396
646,655,9,1336,360
655,682,27,1237,320
682,690,8,1268,268
690,711,21,1328,199
711,713,2,1328,160
713,715,2,1247,154
715,727,12,1186,157
727,734,7,1237,120
734,745,11,1287,52
745,754,9,1330,19
754,756,2,1253,25
756,757,1,1125,61
757,758,1,925,169
758,759,1,798,228
759,760,1,671,279
760,761,1,578,319
761,763,2,477,363
763,767,4,384,386
767,772,5,331,385
772,774,2,284,378
774,812,38,543,248
812,814,2,575,273
814,815,1,676,351
815,816,1,815,459
816,817,1,936,553
817,818,1,1024,625
818,820,2,1109,697
820,840,20,1182,746
840,862,22,1182,670
862,878,16,1235,616
878,892,14,1268,557
892,911,19,1352,485
911,923,12,1358,427
923,945,22,1334,353
945,960,15,1342,290
960,970,10,1363,240
970,972,2,1309,251
972,974,2,1195,286
974,976,2,1065,319
976,978,2,943,347
978,980,2,841,352
980,982,2,750,344
982,985,3,675,328
985,1001,16,636,284
1001,1011,10,667,241
1011,1016,5,727,263
1016,1029,13,784,244
1029,1033,4,867,246
1033,1055,22,938,236
1055,1058,3,980,233
1058,1062,4,252,241
1062,1077,15,324,187
1077,1091,14,370,222
1091,1092,1,519,304
1092,1093,1,714,413
1093,1094,1,870,499
1094,1095,1,1009,576
1095,1096,1,1106,629
1096,1098,2,1198,681
1098,1107,9,1244,701
1107,1122,15,1220,632
1122,1134,12,1221,569
1134,1151,17,1206,522
1151,1172,21,1269,476
1172,1189,17,1312,431
1189,1200,11,1365,382
