StartTime,EndTime,Duration,X,Y
0,9,9,808,332
9,19,10,870,324
19,28,9,937,332
28,31,3,981,328
31,42,11,242,486
42,52,10,301,505
52,60,8,363,506
60,66,6,399,471
66,79,13,405,522
79,88,9,455,519
88,92,4,483,491
92,94,2,552,504
94,100,6,652,520
100,121,21,698,533
121,129,8,762,509
129,146,17,844,515
146,158,12,909,533
158,170,12,971,539
170,173,3,1031,549
173,194,21,1097,520
194,201,7,1088,559
201,207,6,1149,550
207,208,1,1034,535
208,209,1,948,527
209,210,1,855,525
210,211,1,725,537
211,212,1,581,539
212,213,1,478,541
213,215,2,371,536
215,217,2,278,517
217,220,3,210,494
220,231,11,194,525
231,238,7,228,519
238,240,2,286,519
240,244,4,359,537
244,245,1,558,449
245,246,1,702,372
246,247,1,833,299
247,248,1,937,241
248,250,2,1028,187
250,252,2,1101,139
252,254,2,1145,100
254,279,25,1151,60
279,295,16,1217,66
295,312,17,1223,94
312,335,23,1136,83
335,346,11,1157,40
346,347,1,884,226
347,348,1,697,352
348,349,1,566,440
349,350,1,476,500
350,352,2,392,558
352,374,22,358,552
374,377,3,416,527
377,378,1,466,501
378,379,1,582,442
379,380,1,699,375
380,381,1,815,308
381,382,1,921,244
382,383,1,1015,185
383,385,2,1104,114
385,387,2,1181,48
387,398,11,1215,5
398,431,33,1150,79
431,450,19,1215,54
450,481,31,1220,95
481,491,10,1151,52
491,499,8,1114,63
499,511,12,1173,43
511,550,39,1200,40
550,567,17,1174,71
567,594,27,1142,72
594,595,1,878,183
595,596,1,718,267
596,597,1,603,324
597,599,2,499,376
599,609,10,391,437
609,628,19,374,498
628,641,13,451,545
641,644,3,511,559
644,652,8,580,573
652,654,2,632,539
654,655,1,806,422
655,656,1,942,330
656,657,1,1035,266
657,659,2,1121,205
659,661,2,1188,156
661,663,2,1250,99
663,678,15,1280,75
678,681,3,1351,73
681,684,3,1414,52
684,728,44,1392,93
728,733,5,1427,67
733,735,2,1324,52
735,752,17,1193,36
752,754,2,1150,67
754,755,1,921,258
755,756,1,760,364
756,757,1,647,436
757,759,2,533,495
759,761,2,448,538
761,764,3,390,546
764,767,3,829,462
767,770,3,854,519
770,788,18,891,563
788,807,19,947,585
807,809,2,1004,605
809,822,13,1052,686
822,835,13,1100,687
835,843,8,1154,678
843,855,12,1218,647
855,876,21,1118,566
876,889,13,1148,496
889,901,12,1202,457
901,913,12,1266,417
913,922,9,1308,392
922,925,3,1263,345
925,932,7,1199,309
932,936,4,1125,328
936,937,1,933,550
937,938,1,804,689
938,940,2,710,775
940,942,2,741,692
942,956,14,770,611
956,963,7,822,592
963,974,11,867,548
974,987,13,932,554
987,993,6,990,566
993,1003,10,1028,560
1003,1011,8,1086,555
1011,1012,1,1126,423
1012,1014,2,1153,321
1014,1016,2,1182,221
1016,1022,6,1181,144
1022,1033,11,1166,82
1033,1052,19,1214,43
1052,1065,13,1158,85
1065,1067,2,1238,99
1067,1070,3,1333,100
1070,1073,3,1384,98
1073,1082,9,1407,78
1082,1104,22,1374,112
1104,1138,34,1407,99
1138,1141,3,1355,66
1141,1148,7,1270,54
1148,1161,13,1198,47
1161,1177,16,1157,86
1177,1178,1,1002,218
1178,1179,1,875,320
1179,1180,1,771,389
1180,1182,2,676,455
1182,1192,10,576,531
1192,1200,8,272,524
