StartTime,EndTime,Duration,X,Y
0,7,7,970,124
7,8,1,1055,295
8,9,1,1102,402
9,11,2,1149,516
11,13,2,1180,613
13,41,28,1189,660
41,53,12,1240,618
53,60,7,1283,586
60,69,9,1324,549
69,92,23,1217,501
92,115,23,1222,423
115,135,20,1226,348
135,141,6,1239,295
141,143,2,1152,277
143,144,1,1077,270
144,145,1,850,227
145,146,1,702,196
146,147,1,592,171
147,148,1,489,145
148,150,2,395,142
150,166,16,281,131
166,179,13,254,206
179,180,1,287,224
180,181,1,518,196
181,182,1,726,167
182,183,1,875,147
183,184,1,987,131
184,186,2,1103,115
186,188,2,1205,101
188,194,6,1281,90
194,200,6,1333,70
