StartTime,EndTime,Duration,X,Y
0,3,3,1393,63
3,6,3,1419,65
6,7,1,1255,57
7,8,1,1034,87
8,10,2,934,82
10,11,1,827,96
11,12,1,697,132
12,13,1,565,197
13,15,2,447,264
15,19,4,452,303
19,31,12,526,340
31,44,13,616,326
44,59,15,699,321
59,64,5,764,316
64,84,20,823,323
84,85,1,934,404
85,86,1,997,470
86,88,2,1065,539
88,90,2,1123,593
90,114,24,1178,626
114,129,15,1236,577
129,158,29,1286,513
158,176,18,1277,426
176,179,3,1272,386
179,180,1,1058,590
180,181,1,850,528
181,182,1,702,473
182,183,1,599,431
183,185,2,499,388
185,187,2,416,342
187,200,13,346,299
