StartTime,EndTime,Duration,X,Y
0,10,10,553,363
10,14,4,618,367
14,20,6,663,384
20,27,7,737,379
27,33,6,379,348
33,50,17,447,339
50,55,5,514,328
55,57,2,558,342
57,59,2,611,382
59,61,2,704,451
61,62,1,775,506
62,63,1,846,561
63,64,1,942,636
64,66,2,1032,709
66,68,2,1098,762
68,81,13,1151,783
81,96,15,1188,753
96,110,14,1258,701
110,132,22,1321,632
132,135,3,1254,610
135,152,17,1196,575
152,168,16,1209,513
168,173,5,1214,468
173,174,1,1168,477
174,175,1,962,486
175,176,1,791,479
176,177,1,664,474
177,178,1,561,469
178,180,2,470,459
180,199,19,374,415
199,200,1,391,383
