StartTime,EndTime,Duration,X,Y
0,11,11,284,713
11,37,26,289,738
37,39,2,349,721
39,41,2,458,716
41,43,2,549,708
43,45,2,609,713
45,55,10,660,717
55,58,3,753,715
58,66,8,818,714
66,84,18,895,706
84,88,4,951,702
88,98,10,1023,712
98,101,3,1088,711
101,106,5,415,520
106,129,23,465,512
129,135,6,512,520
135,136,1,550,533
136,137,1,651,570
137,138,1,815,635
138,139,1,932,681
139,141,2,1046,731
141,143,2,1127,779
143,162,19,1153,777
162,169,7,1145,737
169,182,13,1195,691
182,192,10,1229,637
192,200,8,1237,601
